Pair,Average_Rating,[All_Ratings]
ass~bird,1.16,[1.2 1.4 1 1 1.2]
ass~donkey,5.16,[7 1.9 3 6.9 7]
baboon~camel,1.42,[2.1 2 1 1 1]
baboon~caterpillar,1.16,[1 1.4 1 1 1.4]
baboon~cockatiel,1.24,[1 1 1 1 2.2]
baboon~fox,1.8,[3.3 1 1 1 2.7]
baboon~gorilla,5.4,[4.3 5.7 6.4 4.8 5.8]
baboon~horse,1.44,[1 2.6 1.4 1.2 1]
baboon~panda,2.28,[1.2 3 1 3.9 2.3]
baboon~pony,1.88,[1.7 2 3 1 1.7]
baboon~whale,1.2,[1.5 1 1.3 1 1.2]
badger~cow,1.82,[2.9 1 3.2 1 1]
badger~crocodile,1.42,[1.6 1 1 1 2.5]
badger~fox,3.32,[4.8 3.7 2.9 1.6 3.6]
badger~panther,2.38,[3.7 1.7 3 1.7 1.8]
badger~rhinoceros,1.48,[1 2 1.4 1 2]
badger~skunk,4.5,[5.6 6 4.1 2 4.8]
badger~weasel,4.12,[2 5.1 5.2 6.1 2.2]
bald_eagle~golden_eagle,6.54,[6 6.9 7 6.8 6]
bald_eagle~shrimp,1,[1 1 1 1 1]
barracuda~nurse_shark,2.66,[3.2 1 4.9 1.2 3]
bass~northern_pike,6.28,[6.9 6 5.5 7 6]
bass~trout,5.62,[6.5 6 6.7 1.9 7]
bat~antelope,1.5,[2 2.1 1 1 1.4]
bat~cow,1.12,[1 1 1 1.3 1.3]
bat~deer,1.12,[1 1.1 1 1.5 1]
bat~dove,2.04,[1.9 1 1 1 5.3]
bat~elephant,1.16,[1 1 1 1.2 1.6]
bat~hedgehog,1.9,[1 1 1 5.5 1]
bat~lemur,1.68,[2.4 1.9 1 1 2.1]
bat~lion,1.28,[2.3 1 1.1 1 1]
bat~moose,1.32,[1.1 1.9 1 1.6 1]
bat~rat,2.5,[2.2 2 1 5.6 1.7]
bat~turkey,2.02,[1.5 2.9 1 1 3.7]
bear~alligator,1.32,[1.5 1 1 1 2.1]
bear~ant,1.28,[1.8 1 1.1 1.5 1]
bear~anteater,1.36,[1 1.3 1 1.8 1.7]
bear~ape,3.16,[4.4 1 1 4.9 4.5]
bear~baboon,2.7,[3.1 3.5 1 3 2.9]
bear~badger,1.54,[2.6 1 1.3 1 1.8]
bear~beaver,2.6,[2 1 4.6 2.9 2.5]
bear~bee,1,[1 1 1 1 1]
bear~bison,3.64,[3.1 3.3 4.7 3 4.1]
bear~black_bear,6.48,[6.8 6.9 7 7 4.7]
bear~bobcat,2.1,[3.5 1 1 2.3 2.7]
bear~buffalo,3.1,[2.8 1.5 4.4 2.3 4.5]
bear~bull,2.04,[2.1 1.2 1 1.6 4.3]
bear~camel,1.44,[2.8 1.4 1 1 1]
bear~canary,1.86,[1.4 3 2.4 1.2 1.3]
bear~cheetah,1.76,[2.6 3.2 1 1 1]
bear~chipmunk,1.54,[1 2.1 1 1.4 2.2]
bear~cougar,2.22,[1 2.5 2.5 2.2 2.9]
bear~crow,1.66,[2.2 1.5 2.3 1 1.3]
bear~cub,6.2,[5.8 6.2 5 7 7]
bear~deer,3.1,[2.7 3.1 2.6 4.1 3]
bear~deer,2.36,[1 2.7 2.3 2.8 3]
bear~dog,1.76,[1.5 1 1 3.6 1.7]
bear~dolphin,2.38,[1.5 2 5 1 2.4]
bear~eagle,1.22,[1.3 1 1.8 1 1]
bear~elephant,2.16,[2.3 3.1 1 1 3.4]
bear~elk,1.74,[1.9 1.1 1 1.4 3.3]
bear~fish,1,[1 1 1 1 1]
bear~grizzly_bear,6.84,[6.2 7 7 7 7]
bear~guinea_pig,1.06,[1 1.3 1 1 1]
bear~hamster,2.52,[1.5 1.9 5.4 1 2.8]
bear~hippopotamus,2.26,[3.4 3.4 2 1 1.5]
bear~horse,1.96,[1 3.6 2.3 1 1.9]
bear~kitten,1.58,[1 2.4 1.8 1.7 1]
bear~koala,3.04,[4.5 5 2 1 2.7]
bear~lizard,1.38,[2.3 1 1 1 1.6]
bear~monkey,1.24,[1 1.1 2.1 1 1]
bear~mountain_lion,1.82,[1 2.8 2.8 1.5 1]
bear~mouse,1.3,[2.1 1 1.4 1 1]
bear~owl,1.3,[2 1 1.5 1 1]
bear~pelican,1,[1 1 1 1 1]
bear~penguin,1.18,[1 1 1.9 1 1]
bear~pig,2.08,[5.7 1 1.3 1.4 1]
bear~raccoon,2.86,[1.9 1.7 5 2.2 3.5]
bear~reindeer,1.48,[1 1 1 2.5 1.9]
bear~seal,1.4,[1 1.4 2.6 1 1]
bear~sheep,1.58,[1.5 1 1.4 3 1]
bear~squirrel,2,[1.8 1 3.2 2.2 1.8]
bear~teddy_bear,4.04,[5.5 4.9 6.1 1 2.7]
bear~tyrannosaurus_rex,1,[1 1 1 1 1]
bear~walrus,1.72,[1 3.4 1 1.3 1.9]
bear~whale,1.24,[1.4 1 1.8 1 1]
bear~wolf,1.7,[1 3.1 1 1.8 1.6]
beaver~alligator,1.42,[1 1.4 2.1 1.4 1.2]
beaver~buffalo,1.4,[1 1 3 1 1]
beaver~bug,1.06,[1 1 1 1.3 1]
beaver~cat,2,[2.2 2.7 1 2.5 1.6]
beaver~cub,2.02,[3.6 1.8 2 1 1.7]
beaver~dog,2.06,[2.8 2 3.5 1 1]
beaver~elephant,1.3,[1.8 1.2 1 1 1.5]
beaver~ferret,2.12,[2.5 1 3 1.4 2.7]
beaver~fish,1.86,[1 1.5 3.2 2.6 1]
beaver~fox,1.88,[3.7 2.7 1 1 1]
beaver~goat,1.42,[1 1 2.5 1.1 1.5]
beaver~groundhog,4.7,[3.6 5.5 6.8 3.1 4.5]
beaver~hedgehog,4.3,[3.5 4.4 3.9 4.7 5]
beaver~jaguar,1.12,[1.3 1 1.3 1 1]
beaver~lion,1.78,[1.1 1.6 2.6 1.7 1.9]
beaver~panther,2.42,[5.1 1 3.1 1 1.9]
beaver~platypus,3.9,[1.2 6.9 5.1 1.7 4.6]
beaver~possum,4.54,[5 3.4 2.9 5.6 5.8]
beaver~sheep,1.5,[2 1 1 1.7 1.8]
beaver~squirrel,2.84,[1 5.6 1 5.1 1.5]
beaver~weasel,2.58,[4.4 1 1 3 3.5]
bee~beetle,1.5,[2.1 1 1.7 1.7 1]
bee~bug,4.18,[4.1 6.6 1.2 2 7]
bee~butterfly,3.28,[1.9 1.9 3 4.6 5]
bee~cat,1.32,[1.8 1 1.8 1 1]
bee~elk,1.02,[1.1 1 1 1 1]
bee~fly,4.52,[5.1 4.6 4 1.9 7]
bee~leopard,1.4,[1.2 1 1.7 1 2.1]
bee~mosquito,4.7,[5.8 5.9 4.7 4.7 2.4]
bee~mouse,1.04,[1 1 1.2 1 1]
bee~tiger,1,[1 1 1 1 1]
bee~turkey,1.18,[1 1 1 1.9 1]
bee~wildebeest,1.52,[1 3.6 1 1 1]
beetle~cockroach,4.84,[6 4 4.1 5 5.1]
beetle~deer,1.36,[1.5 1.1 2 1 1.2]
beetle~frog,1.92,[2.9 1.7 2.2 1 1.8]
beetle~giraffe,1,[1 1 1 1 1]
beetle~seagull,1.34,[2.4 1 1.2 1 1.1]
beetle~sheep,1,[1 1 1 1 1]
beetle~viper,1.18,[1 1 1.4 1.2 1.3]
beetle~wasp,2.64,[1 3.5 2.7 3 3]
beetle~woodpecker,1.44,[1.8 1 1.6 1 1.8]
beluga~shark,4.28,[2.4 4.9 5 5.3 3.8]
bird~alligator,1.36,[1.3 2.5 1 1 1]
bird~anteater,1.36,[1.9 1 1 1 1.9]
bird~bat,4.86,[4.3 4.5 5.1 7 3.4]
bird~bear,1.1,[1.1 1 1.3 1.1 1]
bird~beaver,1.72,[3.5 2 1.1 1 1]
bird~bee,2.54,[4.6 1 1 4.5 1.6]
bird~bison,1.16,[1.1 1 1.7 1 1]
bird~blue_jay,6.98,[7 6.9 7 7 7]
bird~buffalo,1.24,[1 1.3 1 1.9 1]
bird~butterfly,1.82,[1 2.3 2.8 2 1]
bird~cheetah,1.08,[1 1 1 1 1.4]
bird~cockatoo,5.7,[1 7 7 6.6 6.9]
bird~cockroach,1,[1 1 1 1 1]
bird~cricket,1.32,[2 1 1 1 1.6]
bird~duck,6.84,[7 7 7 7 6.2]
bird~eagle,6.88,[7 7 7 7 6.4]
bird~elephant,1.34,[2 1 1.7 1 1]
bird~emu,5.42,[7 4.2 2 6.9 7]
bird~flamingo,4.66,[6.4 4.5 2.8 6.9 2.7]
bird~fowl,6.22,[7 4.2 6.7 6.3 6.9]
bird~frog,1.24,[1 1 1 2.2 1]
bird~giraffe,1.34,[1.4 1 1.6 1 1.7]
bird~goose,5.38,[6.9 4.4 5.5 7 3.1]
bird~horse,1.08,[1 1 1 1 1.4]
bird~lamb,1.66,[1.7 3.1 1 1 1.5]
bird~leopard,1.2,[1 2 1 1 1]
bird~lion,1.04,[1 1 1 1.2 1]
bird~mongoose,1.26,[1.8 1.5 1 1 1]
bird~mule,1.2,[1 2 1 1 1]
bird~ostrich,6.42,[6.1 6.9 5.8 6.8 6.5]
bird~otter,1.28,[1 2.4 1 1 1]
bird~owl,5.24,[4.6 6 7 7 1.6]
bird~panda,1.06,[1.3 1 1 1 1]
bird~parakeet,6.8,[6.9 6.6 7 6.5 7]
bird~pig,1.1,[1 1 1 1 1.5]
bird~possum,1.26,[2 1 1 1 1.3]
bird~python,1.48,[2 1 1.2 1.3 1.9]
bird~rabbit,1.36,[1.9 1 1.9 1 1]
bird~rhinoceros,1,[1 1 1 1 1]
bird~robin,6.4,[7 6.6 7 7 4.4]
bird~sea_lion,1.68,[2.1 2 1.3 2 1]
bird~seagull,5.52,[3.2 5.1 6.1 6.2 7]
bird~sheep,1.08,[1 1 1 1 1.4]
bird~swallow,6.92,[7 6.7 7 6.9 7]
bird~terrier,1.84,[1 1 5.2 1 1]
bird~whale,1.12,[1.1 1 1.5 1 1]
bird~zebra,1.06,[1.3 1 1 1 1]
bison~ant,1.14,[1.5 1 1.2 1 1]
bison~burro,2.8,[3.6 2.2 1.9 2 4.3]
bison~cattle,5.5,[5 5.7 5 6.7 5.1]
bison~horse,2.16,[1 1.4 2.8 3 2.6]
bison~lynx,1.84,[1 2.3 1.6 1.4 2.9]
bison~mule,4.66,[4.7 3.6 3 5.8 6.2]
bison~octopus,1.24,[2 1 1.2 1 1]
bison~ox,5.84,[6.4 6 6.8 4.1 5.9]
bison~sheep,3.12,[1.7 1 4.6 6.4 1.9]
black_bear~dog,1.44,[2 1 2 1 1.2]
black_bear~fox,1.7,[1 3.4 1.2 1 1.9]
black_bear~orangutan,2.88,[4.4 2.9 3.7 2.4 1]
black_bear~porpoise,1.84,[2 2.4 1.4 1.6 1.8]
black_labrador~labrador_retriever,6.04,[5.5 6.1 6.4 7 5.2]
black_widow~hamster,1.46,[1 3.3 1 1 1]
blue_bird~robin,5.98,[4.6 6.8 6.1 6.6 5.8]
blue_heron~elephant,1.06,[1 1 1.3 1 1]
blue_herons~great_blue_heron,6.14,[5.7 7 7 6.4 4.6]
blue_jay~cardinal,5.78,[6.1 6 6.2 6.9 3.7]
blue_jay~pelican,3.18,[6 1.5 1 6 1.4]
blue_jay~pigeon,5.76,[6.2 5.4 4.5 6.7 6]
blue_jay~squirrel,2.26,[2.7 3.1 1.8 2.4 1.3]
blue_jay~swallow,5.44,[5.6 7 5.3 3.6 5.7]
blue_jay~wolf,1.16,[1.8 1 1 1 1]
blue_whale~dolphin,4.06,[3 4.9 5.3 2 5.1]
blue_whale~sperm_whale,6.1,[6 6.4 6 6.2 5.9]
bluebird~blue_jay,6.02,[6.7 7 6 4 6.4]
bluebird~crow,5.5,[6.1 6.1 4.7 5.1 5.5]
boar~eagle,1.42,[1.4 1 1.2 1 2.5]
boar~lion,1.9,[2.8 1.9 1.8 2 1]
boar~mink,1.2,[1 1 2 1 1]
boar~pig,6.22,[4.8 6.7 6.1 7 6.5]
boar~pigeon,1.5,[1 1.2 1.7 2.6 1]
boar~sow,5.82,[4.7 7 6.1 5.3 6]
boar~yak,3.02,[4.4 2.4 2.7 1 4.6]
boar~zebra,1.66,[1.3 2.6 1.9 1 1.5]
bobcat~elephant,1.78,[2.1 1 2.4 2.4 1]
bobcat~lion,4.8,[5 6 5.2 3.2 4.6]
bobcat~puma,4.8,[1.9 5.4 4.6 5.1 7]
bobcat~rhinoceros,1.72,[1.9 1 1.1 1.6 3]
bobcat~wildcat,6.04,[7 7 7 5.1 4.1]
box_turtle~snapping_turtle,5.36,[5.8 6.2 7 6.5 1.3]
brown_bear~elephant,1.28,[1 1 2.2 1.2 1]
brown_bear~lion,2.88,[3.2 3.4 2.7 1 4.1]
buck~doe,6.34,[6.3 5 7 7 6.4]
budgie~giraffe,1.26,[1 2.3 1 1 1]
buffalo~bison,6.94,[6.7 7 7 7 7]
buffalo~cat,2.22,[1 5.4 2.6 1 1.1]
buffalo~crocodile,1.38,[2.1 1 1 1 1.8]
buffalo~dog,2.34,[3.6 2.2 1 3.4 1.5]
buffalo~elephant,2,[2.4 1 1.2 4.4 1]
buffalo~elk,4.34,[6 1 5.7 4.4 4.6]
buffalo~giraffe,2.96,[3.4 2.7 3 3.2 2.5]
buffalo~guinea_pig,1.54,[1.2 1.2 1.3 3 1]
buffalo~hedgehog,1.48,[1 2.4 1 2 1]
buffalo~lemur,1.48,[2.2 1.2 1.9 1 1.1]
buffalo~lion,2,[3.2 1 1 2.4 2.4]
buffalo~lynx,1.2,[1 1 2 1 1]
buffalo~monkey,1.64,[1.7 1.7 2.8 1 1]
buffalo~mouse,1.2,[1 1 2 1 1]
buffalo~pig,3.02,[4.9 4.1 1.6 1.7 2.8]
buffalo~pony,2.56,[1 5.4 2.3 2.2 1.9]
buffalo~rat,1.26,[1 1.9 1.1 1 1.3]
buffalo~rhinoceros,3.3,[4.4 5.2 1 1 4.9]
buffalo~sheep,2.86,[1.7 4.7 3 2.9 2]
buffalo~snake,1.44,[2 1.8 1 1 1.4]
buffalo~tiger,2.44,[1.3 2.4 1.9 5.6 1]
buffalo~wildebeest,4.48,[5 2.3 1.9 6.7 6.5]
buffalo~zebra,4.04,[3.2 3.4 4.8 3.4 5.4]
bug~mosquito,6.88,[6.7 7 6.7 7 7]
bull_shark~barracuda,4.5,[5 6.6 4 1.9 5]
bull_shark~snake,1.16,[1.8 1 1 1 1]
bull~camel,2.36,[1.8 1.9 3.3 3.8 1]
bull~chicken,1.22,[1.3 1.8 1 1 1]
bull~coyote,1.36,[1.8 1 1 1 2]
bull~crocodile,1.04,[1.2 1 1 1 1]
bull~duck,1.32,[1 1.4 1.3 1 1.9]
bull~elk,2.46,[1.8 1.8 3.7 1.4 3.6]
bull~fox,1.52,[1 3 1.5 1 1.1]
bull~horse,1.96,[3.3 1 1 1.1 3.4]
bulldog~dachshund,5.8,[6.5 6.1 4.1 5.4 6.9]
bulldog~hippopotamus,1.4,[1 1 3 1 1]
bunny~bear,1.64,[2 1 1.9 1 2.3]
bunny~cat,3.3,[3.1 5 4.4 3 1]
bunny~cheetah,2.24,[2.4 1 2.8 1.7 3.3]
bunny~clam,1.12,[1 1.1 1 1 1.5]
bunny~dinosaur,1.02,[1 1.1 1 1 1]
bunny~fox,1.52,[3 1 1 1 1.6]
bunny~jackrabbit,6.4,[5.9 6.9 7 6.1 6.1]
bunny~octopus,1.86,[1 5.3 1 1 1]
bunny~pterodactyl,1,[1 1 1 1 1]
bunny~rabbit,6.76,[6.5 7 7 6.3 7]
bunny~sea_lion,1.3,[1 2 1.3 1.2 1]
bunny~turtle,1.36,[1.1 1.3 1.9 1 1.5]
burro~lion,2.64,[2.8 4 3.5 1.9 1]
butterfly~beetle,1.82,[2 1 1 1 4.1]
butterfly~deer,1.22,[1.4 1.4 1 1 1.3]
butterfly~dragon,1.2,[1.8 1 1 1 1.2]
butterfly~eagle,1.7,[1 2.3 1.3 1.9 2]
butterfly~fly,4.82,[5.2 4.7 4.3 5.2 4.7]
butterfly~moth,5.58,[5.1 5.7 6.5 6.1 4.5]
butterfly~raccoon,1,[1 1 1 1 1]
butterfly~whale,1.66,[1 1 1 1 4.3]
buzzard~turkey_buzzard,5.98,[4.9 6.5 7 6.7 4.8]
calf~colt,4.24,[5.4 5.4 1.8 7 1.6]
calf~cow,5.72,[5.8 1.9 7 7 6.9]
calf~foal,3.64,[3.1 3.7 6 1 4.4]
calf~seal,2.54,[5.3 1 3.2 1.2 2]
camel~alligator,1.02,[1.1 1 1 1 1]
camel~anteater,1.1,[1 1 1.5 1 1]
camel~ape,1.52,[2.1 1 1.5 1.7 1.3]
camel~buffalo,2.2,[1 4.6 1.4 1 3]
camel~cow,3.3,[2.6 4 1.6 5.7 2.6]
camel~crocodile,1.72,[3.3 1 1.2 1 2.1]
camel~dog,1.5,[1.9 2.4 1.2 1 1]
camel~emu,3.46,[2.4 1 5.7 4 4.2]
camel~giraffe,2.52,[6 1 2.4 2.2 1]
camel~hippopotamus,2.34,[2.9 3 1 1 3.8]
camel~horse,5.18,[5 4.3 5.7 5.7 5.2]
camel~hyena,2.88,[2.3 3.5 2.6 1 5]
camel~kangaroo,3.42,[2.3 5.8 4.5 1.4 3.1]
camel~lion,1.8,[2.3 1 2.9 1.8 1]
camel~monkey,1.48,[2.6 1.8 1 1 1]
camel~ox,3.94,[4.7 4.4 5.6 2.4 2.6]
camel~pig,1,[1 1 1 1 1]
camel~polar_bear,1.52,[1 1.9 1.7 1 2]
camel~seal,1.72,[1.7 1.8 1 1 3.1]
camel~sheep,3.66,[5.2 5.6 3.6 1.7 2.2]
camel~snake,1.3,[1.7 1 1.2 1 1.6]
camel~toad,1.16,[1.3 1 1.5 1 1]
camel~zebra,3.48,[4.6 2.1 2.9 5.8 2]
canary~cockatoo,4.74,[3.7 4.2 5 6.8 4]
canary~goose,3.76,[2.8 5.1 4.7 2.5 3.7]
canary~horse,1.4,[1.9 1 2.1 1 1]
canary~human,1.04,[1 1 1 1 1.2]
canary~robin,5.16,[5 5.5 7 2 6.3]
canary~vulture,3.18,[2.3 2.2 4.1 3.3 4]
cardinal~hog,1,[1 1 1 1 1]
cardinal~snake,1.16,[1.8 1 1 1 1]
caribou~deer,6.46,[7 6.7 5.9 6.7 6]
caribou~owl,1.36,[1 1 1.9 1 1.9]
caribou~wolf,1.8,[1 2 1 1.9 3.1]
cat~african_wildcat,6.04,[6.5 5 6.3 6.7 5.7]
cat~alligator,1.24,[1.9 1 1 1 1.3]
cat~bat,1.82,[3.1 1 2.6 1 1.4]
cat~bear,2.08,[2.9 2 2.8 1 1.7]
cat~bird,1.56,[1.8 1.9 1.3 1.8 1]
cat~bison,1.62,[2.3 2.5 1.3 1 1]
cat~bug,1,[1 1 1 1 1]
cat~bull,1.4,[1.8 2 1 1 1.2]
cat~calf,1.5,[1 2 1.8 1.1 1.6]
cat~catfish,1.4,[1.1 1.5 1 1 2.4]
cat~chicken,1.74,[3.1 1.7 1 1 1.9]
cat~cougar,6.44,[7 7 5 6.6 6.6]
cat~crocodile,1.6,[2.8 1.8 1 1 1.4]
cat~deer,1.48,[1 1.9 1.6 1.2 1.7]
cat~dog,4.08,[4.3 3 6 3.5 3.6]
cat~donkey,1.12,[1.4 1 1.2 1 1]
cat~elephant,1.56,[2.3 2.5 1 1 1]
cat~ferret,4.44,[3.4 4.8 4.6 5.4 4]
cat~fish,1.3,[2.4 1 1.1 1 1]
cat~flea,1.18,[1 1 1.9 1 1]
cat~fly,1.88,[1 5.4 1 1 1]
cat~frog,1.76,[1.5 1 1 1.6 3.7]
cat~gazelle,1.86,[2 1 2 1.8 2.5]
cat~gerbil,1.62,[2.7 1 1 1 2.4]
cat~giraffe,1.7,[1.3 4.1 1.1 1 1]
cat~gorilla,1.36,[1 1.7 1.9 1.2 1]
cat~hamster,2.44,[2.1 2.4 2.5 2 3.2]
cat~hedgehog,1.4,[2.8 1 1 1 1.2]
cat~hippopotamus,1.12,[1 1.3 1.2 1.1 1]
cat~horse,1.36,[2.5 1 1.1 1.2 1]
cat~lamb,2.36,[1.9 1 4.2 1 3.7]
cat~leopard,5.24,[7 4 4.1 4.7 6.4]
cat~lion,5.82,[6 7 2.8 6.5 6.8]
cat~llama,2.24,[2.7 3.5 1.4 1 2.6]
cat~lynx,6.22,[6.8 7 6.7 5.4 5.2]
cat~mouse,2.36,[3.5 2.2 2.9 1 2.2]
cat~ocelot,5.72,[6.5 5 5.3 6 5.8]
cat~ostrich,1.72,[1.3 4.3 1 1 1]
cat~owl,1.3,[1 1.3 2.2 1 1]
cat~porcupine,1.34,[1.4 1 1.2 1 2.1]
cat~possum,3,[1.9 5.7 4.7 1.5 1.2]
cat~rabbit,2.34,[1.6 1 1.6 5 2.5]
cat~rat,2.6,[4.3 3.5 1.3 1 2.9]
cat~rhinoceros,1.1,[1.2 1 1 1 1.3]
cat~siamese_cat,6.72,[7 7 7 6.3 6.3]
cat~snake,1.66,[2.8 1.8 1 1 1.7]
cat~sparrow,1.24,[1 2 1 1.2 1]
cat~squirrel,1.74,[1 1.1 3.6 1 2]
cat~tiger,2.74,[1 4.4 2.4 2.9 3]
cat~turkey,1.1,[1 1 1 1.5 1]
cat~turtle,1.12,[1 1 1.5 1.1 1]
cat~wildcat,6.32,[6.6 7 7 5 6]
cat~worm,1,[1 1 1 1 1]
cat~yorkie,3.64,[4.2 4.6 4.2 1.2 4]
caterpillar~deer,1.26,[1.5 1 1 1 1.8]
caterpillar~dog,1.06,[1 1 1.3 1 1]
caterpillar~human,1.5,[1 3.5 1 1 1]
caterpillar~moth,4.14,[3.7 3.4 5.5 5.4 2.7]
catfish~trout,6.32,[5.1 6.5 6.7 6.3 7]
cattle~horse,2.88,[4.7 4.7 1 2.6 1.4]
centipede~dragonfly,3.28,[1.7 3.2 1 5.7 4.8]
centipede~millipede,5.6,[6.1 6.8 5.2 6.9 3]
chameleon~aardvark,1.18,[1.1 1 1 1 1.8]
chameleon~ant,1.44,[1 1.5 1 1.5 2.2]
chameleon~chimpanzee,1.22,[1 1 1 2.1 1]
chameleon~lion,1.12,[1 1 1.2 1.4 1]
chameleon~lizard,5.48,[4.9 2.5 7 6 7]
cheetah~alligator,1.28,[1.7 1 1.7 1 1]
cheetah~bat,1.12,[1 1 1.3 1 1.3]
cheetah~cat,5.84,[7 5.6 3.1 6.5 7]
cheetah~chicken,1.3,[1.7 1 1 1 1.8]
cheetah~cougar,6.24,[5.9 7 6.7 7 4.6]
cheetah~deer,1.32,[2.4 1 1.2 1 1]
cheetah~dog,2.7,[1 4.7 3.6 2.5 1.7]
cheetah~gazelle,3.48,[6.7 1 3.4 1.3 5]
cheetah~gorilla,1.66,[1 2 1 1.5 2.8]
cheetah~jaguar,6.08,[6.2 6.7 5.3 5.9 6.3]
cheetah~lion,5.12,[5.4 5.3 3.1 5.7 6.1]
cheetah~mountain_lion,5.74,[4.5 5.8 5.4 6 7]
cheetah~orangutan,2.4,[1 2.4 4.1 2 2.5]
cheetah~penguin,1.1,[1 1.5 1 1 1]
cheetah~puma,6.08,[4.8 6.5 6.2 5.9 7]
cheetah~snow_leopard,5.82,[6.1 5.3 6 6.5 5.2]
cheetah~tiger_shark,1.2,[1 2 1 1 1]
cheetah~trout,1.06,[1.1 1 1.2 1 1]
cheetah~wolf,3.16,[3.1 5.6 1 2 4.1]
chick~giraffe,1.32,[1.8 1 1 1.1 1.7]
chickadee~robin,3.74,[6.3 4.2 1 4.1 3.1]
chickadee~sheep,1.34,[1 1 1 1.6 2.1]
chicken~alligator,1.02,[1 1 1 1.1 1]
chicken~bear,1.2,[2 1 1 1 1]
chicken~bird,6.1,[7 7 7 2.5 7]
chicken~camel,1.34,[1.5 1.4 1 1 1.8]
chicken~chick,6.76,[7 7 6.9 6.1 6.8]
chicken~coyote,1.92,[3.7 1.9 1 1 2]
chicken~dog,1.66,[1.2 2.2 1 2.2 1.7]
chicken~duck,4.42,[4.3 2.7 5.1 4 6]
chicken~fish,1.12,[1 1 1.6 1 1]
chicken~frog,1.52,[2.7 1 1 1.8 1.1]
chicken~giraffe,1.1,[1.2 1 1.1 1.2 1]
chicken~goat,1.52,[1 1.6 1.7 1.9 1.4]
chicken~goose,4.18,[3.9 4.7 5.4 4 2.9]
chicken~guinea_hen,4.8,[7 7 3.1 4.7 2.2]
chicken~hog,1.12,[1 1.2 1 1 1.4]
chicken~owl,4.02,[5.9 3.8 5.9 3.1 1.4]
chicken~penguin,2.02,[4.4 1 1.2 1.7 1.8]
chicken~pig,1.52,[1 2.5 1 2.1 1]
chicken~pigeon,4.34,[3.8 3 6.7 7 1.2]
chicken~pony,1.16,[1.8 1 1 1 1]
chicken~rat,2.24,[1.7 1 5.9 1.1 1.5]
chicken~rattlesnake,1.02,[1.1 1 1 1 1]
chicken~rhinoceros,1.5,[1.5 1 2.8 1 1.2]
chicken~sheep,1.62,[1 1 3 1.2 1.9]
chicken~sparrow,4.56,[5.7 3.4 4.7 6 3]
chicken~turtle,1.24,[1.3 1 1 1.9 1]
chicken~walrus,1,[1 1 1 1 1]
chicken~wolf,2.22,[1 2 2 5.1 1]
chicken~zebra,1.26,[1.6 1 1 1 1.7]
chihuahua~dog,6.02,[6.8 4.4 7 7 4.9]
chimpanzee~badger,1.82,[1 4.8 1 1 1.3]
chimpanzee~bear,2.94,[2.1 5.6 4.7 1 1.3]
chimpanzee~bonobo,5.82,[6.5 5.7 7 5.3 4.6]
chimpanzee~dog,1.7,[2.3 1 1.1 1.1 3]
chimpanzee~donkey,1.5,[2.4 1.4 1 1.7 1]
chimpanzee~elephant,1.48,[1 1.5 2.9 1 1]
chimpanzee~gorilla,5.16,[2.3 6.8 6.1 5.3 5.3]
chimpanzee~horse,1.6,[2.7 1.2 1.9 1 1.2]
chimpanzee~orangutan,5.5,[6.4 6.9 4.6 3.6 6]
chimpanzee~otter,2.12,[2.2 3.9 2.5 1 1]
chimpanzee~panda,1.18,[1 1.2 1.2 1 1.5]
chimpanzee~pig,1.46,[1.7 1.7 1 1 1.9]
chimpanzee~rabbit,1.5,[2.5 1 1.1 1 1.9]
chimpanzee~snail,1.06,[1.1 1 1 1 1.2]
chimpanzee~turtle,1.06,[1.1 1.2 1 1 1]
chinchilla~ferret,4.94,[5.5 4.3 3 6.7 5.2]
chinchilla~squirrel,4.76,[5.8 4.7 5 3 5.3]
chipmunk~alligator,1.42,[2.4 1 1.7 1 1]
chipmunk~bird,1.5,[1 1 2.2 2.3 1]
chipmunk~coyote,1.68,[1.2 3.5 1 1.7 1]
chipmunk~deer,1.46,[1 1 2.3 1.9 1.1]
chipmunk~duck,1.36,[1 1.5 1.8 1.5 1]
chipmunk~eagle,1.88,[3 1 2.6 1.3 1.5]
chipmunk~elk,1.34,[1 2.1 1 1.6 1]
chipmunk~flamingo,1.34,[1 2.6 1.1 1 1]
chipmunk~horse,2.1,[2.5 4.5 1 1 1.5]
chipmunk~killer_whale,1.16,[1 1 1 1.8 1]
chipmunk~lizard,1.24,[1.5 1.4 1 1 1.3]
chipmunk~penguin,1.14,[1 1.2 1.4 1.1 1]
chipmunk~snake,1.14,[1 1.7 1 1 1]
clam~crab,3.12,[1.9 2 2.9 4.3 4.5]
clam~fox,1.1,[1.1 1 1.4 1 1]
clam~oyster,5.32,[4.9 6.1 5.2 4.7 5.7]
clown_fish~angel_fish,5.02,[6.1 4.5 6.8 5 2.7]
clownfish~dolphin,3.32,[1.8 2.9 4.6 4.3 3]
clownfish~shark,3.74,[1.6 3.2 4 2.9 7]
cobra~snake,6.82,[6.8 6.5 6.8 7 7]
cockatiel~mastodon,1,[1 1 1 1 1]
cockatoo~lion,1.36,[1.4 1 1 1.3 2.1]
cockatoo~turtle,1.06,[1 1.3 1 1 1]
cockroach~frog,1.08,[1 1 1 1.2 1.2]
cockroach~rat,1.08,[1.4 1 1 1 1]
cockroach~snake,1.3,[1.5 1 1 1 2]
